#OTUID	E-JT-526	E-SOG-4619	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-WP-623	E-SOG-6527	E-SOG-4424	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-LH-2016	E-BP-2016	E-TI-2014	E-PM-Aug-2014	E-SOG-1619	E-DU-Jul-2014	E-JP-2016	E-JT-623	E-LS-428	E-SOG-4527	E-WV-Aug-2014	E-WC-2016	E-PM-Jul-2014	E-SOG-7424	E-SOG-2527	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-Tca-7-2014	E-FR-7-2014	E-DS-623	E-WP-526	E-PM-2016	E-BA-2016	E-MT-526	E-WV-Jula-2014	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-SOG-2619	E-SOG-6424	E-SOG-5527	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-SOG-3619	E-MT-428	E-TC-2014	E-SOG-1527	E-T7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424	taxonomy
114783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	12.0	0.0	207.0	0.0	47.0	13.0	0.0	0.0	0.0	62.0	69.0	17.0	0.0	0.0	0.0	5.0	25.0	0.0	0.0	0.0	0.0	35.0	31.0	0.0	42.0	0.0	0.0	16.0	0.0	0.0	5.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	D_0__Eukaryota; D_1__SAR; D_2__Alveolata; D_3__uncultured; D_4__uncultured marine eukaryote; D_5__uncultured marine eukaryote; D_6__uncultured marine eukaryote
65091	0.0	203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	139.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	109.0	8.0	0.0	0.0	32.0	17.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	76.0	60.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	49.0	0.0	6.0	19.0	24.0	8.0	410.0	D_0__Eukaryota; D_1__Cryptophyceae; D_2__Cryptomonadales; D_3__Geminigera; D_4__Geminigera cryophila; D_5__Geminigera cryophila; D_6__Geminigera cryophila
65090	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	103.0	10.0	5.0	0.0	30.0	10.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	95.0	34.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	33.0	0.0	0.0	34.0	36.0	15.0	435.0	Unassigned
117074	0.0	0.0	33.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	10.0	0.0	0.0	24.0	15.0	87.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	5.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__SAR; D_2__Alveolata; D_3__Protalveolata; D_4__Colpodellida; D_5__Colpodella; D_6__Colpodella edax
95120	8.0	0.0	17.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	67.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	65.0	21.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	36.0	5.0	0.0	0.0	0.0	Unassigned
114788	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	308.0	6.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	9.0	0.0	6.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__SAR; D_2__Alveolata; D_3__Dinoflagellata
69957	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	105.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	26.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	11.0	14.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	40.0	22.0	16.0	132.0	D_0__Eukaryota; D_1__Haptophyta; D_2__Prymnesiophyceae; D_3__Prymnesiales; D_4__Chrysochromulina
101761	26.0	0.0	81.0	0.0	0.0	0.0	15.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	12.0	15.0	0.0	0.0	45.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	6.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	Unassigned
101760	64.0	0.0	198.0	0.0	0.0	0.0	35.0	0.0	195.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	24.0	62.0	0.0	0.0	129.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	13.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	Unassigned
117677	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	D_0__Eukaryota; D_1__Archaeplastida; D_2__Chloroplastida
69958	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	277.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	72.0	28.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	84.0	0.0	52.0	34.0	0.0	0.0	0.0	7.0	0.0	0.0	186.0	0.0	0.0	113.0	75.0	26.0	321.0	D_0__Eukaryota; D_1__Haptophyta; D_2__Prymnesiophyceae; D_3__Prymnesiales; D_4__Chrysochromulina; D_5__uncultured marine picoeukaryote; D_6__uncultured marine picoeukaryote
78851	0.0	0.0	0.0	0.0	250.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	Unassigned
111532	17.0	0.0	13.0	146.0	0.0	0.0	24.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	46.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	56.0	6.0	0.0	0.0	0.0	20.0	0.0	19.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	D_0__Eukaryota; D_1__SAR; D_2__Stramenopiles; D_3__Ochrophyta; D_4__Chrysophyceae; D_5__uncultured eukaryote; D_6__uncultured eukaryote
117670	0.0	117.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	53.0	0.0	0.0	273.0	47.0	1906.0	97.0	15.0	0.0	27.0	40.0	2073.0	0.0	0.0	49.0	38.0	2352.0	390.0	0.0	131.0	0.0	25.0	42.0	0.0	0.0	0.0	0.0	12.0	324.0	0.0	8.0	0.0	0.0	3794.0	0.0	24.0	0.0	3355.0	0.0	216.0	0.0	130.0	0.0	6.0	93.0	0.0	19.0	0.0	0.0	2500.0	0.0	D_0__Eukaryota; D_1__Archaeplastida; D_2__Chloroplastida
93253	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	8.0	Unassigned
